product_id,title,description,price,discount,discounted_price
1,Smartphone,Latest model with high-end features,699.99,10,629.99
2,Laptop,15-inch laptop with 16GB RAM,999.99,15,849.99
3,Wireless Earbuds,Noise-canceling wireless earbuds,149.99,5,142.49
4,Smartwatch,Water-resistant smartwatch with GPS,199.99,20,159.99
5,Tablet,10-inch tablet with 64GB storage,329.99,10,296.99
6,Digital Camera,High-resolution camera with 4K video,499.99,15,424.99
7,Gaming Console,Next-gen gaming console,499.99,5,474.99
8,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,79.99,10,71.99
9,Smart TV,55-inch 4K Ultra HD Smart TV,599.99,20,479.99
10,External Hard Drive,1TB external hard drive,89.99,10,80.99
